gre_score,toefl_score,university_rating,sop,lor,cgpa,research,chance_of_admit,program,application_completion,gender,admitted
312,107,4,4.5,4.0,8.65,1,0.73,Information Technology,Complete,Male,1
325,111,4,4.0,4.5,9.11,1,0.83,Data Science,Complete,Male,1
319,110,3,3.0,2.5,8.79,0,0.72,Software Engineering,Incomplete,Female,0
332,118,5,5.0,5.0,9.47,1,0.94,Computer Science,Complete,Female,1
323,108,5,4.0,4.0,8.74,1,0.81,Software Engineering,Complete,Male,1
324,107,5,3.5,4.0,8.66,1,0.81,Software Engineering,Complete,Male,1
312,107,3,3.0,3.0,8.46,1,0.75,Information Technology,Incomplete,Male,1
326,110,3,3.5,3.5,8.76,1,0.79,Software Engineering,Complete,Male,1
308,106,3,3.0,3.0,8.24,0,0.58,Computer Engineering,Incomplete,Male,0
305,103,2,2.5,3.5,8.13,0,0.59,Computer Engineering,Incomplete,Male,0
295,96,2,1.5,2.0,7.34,0,0.47,Computer Engineering,Incomplete,Male,0
316,98,1,1.5,2.0,7.43,0,0.49,Computer Engineering,Incomplete,Female,0
304,97,2,1.5,2.0,7.64,0,0.47,Computer Engineering,Incomplete,Female,0
299,94,1,1.0,1.0,7.34,0,0.42,Computer Engineering,Incomplete,Male,0
302,99,1,2.0,2.0,7.25,0,0.57,Computer Engineering,Incomplete,Male,0
313,101,3,2.5,3.0,8.04,0,0.62,Computer Engineering,Incomplete,Female,0
318,107,3,3.0,3.5,8.27,1,0.74,Information Technology,Incomplete,Female,1
325,110,4,3.5,4.0,8.67,1,0.73,Software Engineering,Complete,Female,1
303,100,2,3.0,3.5,8.06,1,0.64,Computer Engineering,Incomplete,Female,0
300,102,3,3.5,2.5,8.17,0,0.63,Computer Engineering,Incomplete,Male,0
297,98,2,2.5,3.0,7.67,0,0.59,Computer Engineering,Incomplete,Male,0
317,106,2,2.0,3.5,8.12,0,0.73,Computer Engineering,Incomplete,Female,1
327,109,3,3.5,4.0,8.77,1,0.79,Software Engineering,Complete,Male,1
301,104,2,3.5,3.5,7.89,1,0.68,Computer Engineering,Complete,Female,0
314,105,2,2.5,2.0,7.64,0,0.7,Computer Engineering,Incomplete,Female,0
321,107,2,2.0,1.5,8.44,0,0.81,Information Technology,Incomplete,Female,1
322,110,3,4.0,5.0,8.64,1,0.85,Software Engineering,Complete,Male,1
334,116,4,4.0,3.5,9.54,1,0.93,Computer Science,Complete,Female,1
338,115,5,4.5,5.0,9.23,1,0.91,Computer Science,Complete,Male,1
306,103,2,2.5,3.0,8.36,0,0.69,Computer Engineering,Incomplete,Female,0
313,102,3,3.5,4.0,8.9,1,0.77,Information Technology,Complete,Female,1
330,114,4,4.5,3.0,9.17,1,0.86,Data Science,Incomplete,Male,1
320,104,3,3.5,4.5,8.34,1,0.74,Information Technology,Complete,Female,1
311,98,1,1.0,2.5,7.46,0,0.57,Computer Engineering,Incomplete,Female,0
298,92,1,2.0,2.0,7.88,0,0.51,Computer Engineering,Incomplete,Male,0
301,98,1,2.0,3.0,8.03,1,0.67,Computer Engineering,Incomplete,Male,0
310,103,2,2.5,2.5,8.24,0,0.72,Information Technology,Incomplete,Male,0
324,110,3,3.5,3.0,9.22,1,0.89,Artificial Intelligence,Incomplete,Male,1
336,119,4,4.5,4.0,9.62,1,0.95,Computer Science,Complete,Male,1
321,109,3,3.0,3.0,8.54,1,0.79,Software Engineering,Incomplete,Female,1
315,105,2,2.0,2.5,7.65,0,0.39,Computer Engineering,Incomplete,Male,0
304,101,2,2.0,2.5,7.66,0,0.38,Computer Engineering,Incomplete,Male,0
297,96,2,2.5,2.0,7.43,0,0.34,Computer Engineering,Incomplete,Female,0
290,100,1,1.5,2.0,7.56,0,0.47,Computer Engineering,Incomplete,Male,0
303,98,1,2.0,2.5,7.65,0,0.56,Computer Engineering,Incomplete,Female,0
311,99,1,2.5,3.0,8.43,1,0.71,Information Technology,Incomplete,Male,0
322,104,3,3.5,4.0,8.84,1,0.78,Artificial Intelligence,Complete,Male,1
319,105,3,3.0,3.5,8.67,1,0.73,Software Engineering,Incomplete,Female,1
324,110,4,4.5,4.0,9.15,1,0.82,Artificial Intelligence,Complete,Female,1
300,100,3,3.0,3.5,8.26,0,0.62,Computer Engineering,Incomplete,Female,0
340,113,4,5.0,5.0,9.74,1,0.96,Computer Science,Complete,Female,1
335,117,5,5.0,5.0,9.82,1,0.96,Computer Science,Complete,Female,1
302,101,2,2.5,3.5,7.96,0,0.46,Computer Engineering,Incomplete,Male,0
307,105,2,2.0,3.5,8.1,0,0.53,Computer Engineering,Incomplete,Male,0
296,97,2,1.5,2.0,7.8,0,0.49,Computer Engineering,Incomplete,Female,0
320,108,3,3.5,4.0,8.44,1,0.76,Information Technology,Complete,Female,1
314,102,2,2.0,2.5,8.24,0,0.64,Information Technology,Incomplete,Female,0
318,106,3,2.0,3.0,8.65,0,0.71,Software Engineering,Incomplete,Male,0
326,112,4,4.0,3.5,9.12,1,0.84,Data Science,Complete,Male,1
317,104,2,3.0,3.0,8.76,0,0.77,Software Engineering,Incomplete,Female,1
329,111,4,4.5,4.0,9.23,1,0.89,Data Science,Complete,Male,1
324,110,3,3.5,3.5,9.04,1,0.82,Artificial Intelligence,Complete,Female,1
325,107,3,3.0,3.5,9.11,1,0.84,Data Science,Incomplete,Female,1
330,116,4,5.0,4.5,9.45,1,0.91,Computer Science,Complete,Male,1
312,103,3,3.5,4.0,8.78,0,0.67,Information Technology,Incomplete,Female,0
333,117,4,5.0,4.0,9.66,1,0.95,Computer Science,Complete,Female,1
